Probe,p-value,q_value,DEG
1405_i_at,0.0009213959171735688,0.01199460042177735,1.0
1552256_a_at,2.6369309620327897e-07,1.0470167055130195e-05,1.0
1552291_at,7.522568031200777e-10,6.528514398506388e-08,1.0
1552365_at,4.3038096643210867e-05,0.0008660964629629279,1.0
1552383_at,0.0034920959210771444,0.03706665588912694,1.0
1552477_a_at,0.00015926339695459402,0.002662913219722455,1.0
1552617_a_at,0.0008462821869596593,0.011176134125973382,1.0
1552618_at,1.4124369724826916e-05,0.00032736325337215415,1.0
1552621_at,0.004139030848424133,0.04260194119683537,1.0
1552711_a_at,4.532740601547212e-09,3.0149342139853266e-07,1.0
1552790_a_at,1.7642317509038296e-11,2.5586040047922252e-09,1.0
1552797_s_at,0.00027301855276643693,0.0042370960466945615,1.0
1552848_a_at,0.00011787866198300842,0.0020476916353005066,1.0
1552863_a_at,0.004541948693550934,0.04587678640677948,1.0
1552930_at,0.0047324953911781105,0.04738996071660498,1.0
1553103_at,0.000361982431191779,0.005426061319672649,1.0
1553394_a_at,0.0005707468136360284,0.008013760152940383,1.0
1553567_s_at,0.0005536389979375925,0.007809652273539183,1.0
1553602_at,1.492354715965063e-05,0.00034269002140020923,1.0
1553613_s_at,2.8861880859152024e-19,9.282490211612571e-16,1.0
1553677_a_at,3.264025830045068e-05,0.0006795910596257201,1.0
1553709_a_at,4.774257393808336e-07,1.7507211469246865e-05,1.0
1553768_a_at,3.5227470822748796e-05,0.0007250932903054325,1.0
1553946_at,4.60031745275281e-05,0.0009152924189565497,1.0
1553956_at,0.000604306800026519,0.008394429443965937,1.0
1553972_a_at,5.20962279389795e-09,3.4053636543822007e-07,1.0
1553984_s_at,0.004632582799855718,0.046594272366098484,1.0
1553986_at,7.055925715591943e-07,2.4370356190776342e-05,1.0
1553992_s_at,0.003764789946449872,0.03941941785251573,1.0
1554007_at,9.520596422967716e-07,3.168220386036275e-05,1.0
1554008_at,0.004533509779289146,0.0458134375262957,1.0
1554067_at,0.002847098127197163,0.03121338366068058,1.0
1554079_at,0.004505972163174788,0.04570368302983051,1.0
1554084_a_at,0.001007029985273534,0.01295514457525423,1.0
1554241_at,1.5828809102957543e-07,6.698453078205911e-06,1.0
1554251_at,0.0004186225419504916,0.006162678374028844,1.0
1554327_a_at,0.002847098127197163,0.03121338366068058,1.0
1554390_s_at,7.193504069826882e-05,0.0013441723684818345,1.0
1554408_a_at,0.0023477826702923317,0.026744573746166116,1.0
1554423_a_at,6.467232254787731e-06,0.00016639808166142082,1.0
1554480_a_at,0.0023827080735395194,0.027067227076828012,1.0
1554517_x_at,0.004266457678855186,0.04372419373784579,1.0
1554555_a_at,0.0003955651589698715,0.0058627067136562015,1.0
1554572_a_at,4.930017972674901e-09,3.255419476521742e-07,1.0
1554600_s_at,6.0165790592245205e-09,3.8117782162584084e-07,1.0
1554667_s_at,0.0007773991312049672,0.010407516527578741,1.0
1554806_a_at,1.0959144604426138e-05,0.0002625728445429444,1.0
1555278_a_at,7.475138153616081e-06,0.00018830706573723298,1.0
1555419_a_at,1.4579129780909342e-09,1.133874709489642e-07,1.0
1555460_a_at,1.877453663663251e-09,1.4139088024901963e-07,1.0
1555579_s_at,0.00021778397151984546,0.003491888165057933,1.0
1555630_a_at,0.0001308976728872064,0.0022368342364474676,1.0
1555730_a_at,5.313640079298758e-05,0.00103758311191307,1.0
1555743_s_at,4.512168001320842e-05,0.0009014231469731669,1.0
1555760_a_at,0.0017849856197185618,0.02115173141701612,1.0
1555778_a_at,0.004666569600170941,0.046867136827580126,1.0
1555780_a_at,5.913069707388885e-07,2.1047987386164537e-05,1.0
1555790_a_at,1.587271283707202e-11,2.339192922821867e-09,1.0
1555797_a_at,6.125280361924864e-05,0.0011727829339062345,1.0
1555826_at,0.004533623340565931,0.0458134375262957,1.0
1555841_at,0.0010379739927680104,0.01328135456461291,1.0
1555845_at,3.6415920556738127e-06,0.00010142844913090458,1.0
1555864_s_at,2.6498422019002117e-05,0.0005672675113112532,1.0
1555881_s_at,0.004630224833735563,0.04657912470735822,1.0
1555982_at,3.7619579092437746e-05,0.0007703559875951437,1.0
