Probe,p-value,q_value,DEG
201725_at,6.318222109286681e-06,0.0022144153450336496,1.0
201730_s_at,0.00013394724834666751,0.012934931288444298,1.0
201737_s_at,0.0003799503302884112,0.025561928886897445,1.0
201751_at,2.1252500491739255e-05,0.004256338697384043,1.0
201770_at,0.00040487944484400367,0.025561928886897445,1.0
201791_s_at,0.0002951960374529292,0.02166421925870994,1.0
201795_at,4.577380081111839e-05,0.006561967048873738,1.0
201820_at,1.3100882468304729e-05,0.003286343676578576,1.0
201844_s_at,0.00012249394433246985,0.012221453296309836,1.0
201846_s_at,0.00011993812248986102,0.012073816233094533,1.0
201848_s_at,0.00021762196368314837,0.01765353243972721,1.0
201853_s_at,0.0010238271615230108,0.0485496531277282,1.0
201862_s_at,0.0006067510270199427,0.03364514442425494,1.0
201863_at,0.001008208239814685,0.04785050825682977,1.0
201872_s_at,0.0009413496722169553,0.04563283266334724,1.0
201874_at,8.328519775189846e-05,0.009467295613652898,1.0
201890_at,0.0002896463565202441,0.02148767237821485,1.0
201897_s_at,2.0117885739025376e-05,0.004135133093162453,1.0
201898_s_at,0.0006915911374058058,0.03645772094572311,1.0
201924_at,2.9109983839351353e-06,0.0015470742036236042,1.0
201930_at,0.0006203196230830161,0.03412069958960152,1.0
201932_at,0.00040487944484400367,0.025561928886897445,1.0
201935_s_at,0.00024501558511293386,0.019299139066294234,1.0
201940_at,0.0003816402589371087,0.025561928886897445,1.0
201941_at,3.1336288012039795e-05,0.005229859238257609,1.0
201948_at,0.00011155845946699577,0.011486739682406768,1.0
201968_s_at,0.000941710421690414,0.04563283266334724,1.0
201970_s_at,0.0003115586324431553,0.02241377398530199,1.0
201976_s_at,0.00014831747655014895,0.01383832428392388,1.0
201980_s_at,0.00035689604210761855,0.02448342672802264,1.0
201990_s_at,0.0006346063171817674,0.0344217265792789,1.0
201996_s_at,0.000163907368751194,0.014679320151983193,1.0
202037_s_at,0.0010614218947310853,0.04981394171195029,1.0
202054_s_at,0.00032844093088008845,0.023271069428241538,1.0
202061_s_at,0.00026516634309805046,0.020305279844378025,1.0
202062_s_at,1.280507848917012e-05,0.0032715778803522255,1.0
202068_s_at,0.00034864190181247714,0.02415969072445778,1.0
202095_s_at,0.00010104598486524436,0.010727551888363565,1.0
202107_s_at,0.00015713370245985377,0.014365281126436265,1.0
202121_s_at,1.1368329270323394e-05,0.003061888684014441,1.0
202129_s_at,9.487899811689539e-05,0.010175565561997512,1.0
202138_x_at,0.0005517608055027583,0.031197023827159578,1.0
202144_s_at,3.8176955085885306e-05,0.005879788786819096,1.0
202146_at,5.973362981446329e-06,0.0021440375914715793,1.0
202147_s_at,4.863643420784778e-07,0.0007139707032897757,1.0
202171_at,0.00019508578553001954,0.016417468160960232,1.0
202172_at,0.0002058705950660869,0.016926277872538798,1.0
202188_at,9.355671974623488e-05,0.01006931821284526,1.0
202200_s_at,3.6677208809613604e-05,0.005717574620769876,1.0
202246_s_at,6.632707347324006e-05,0.008241892595794092,1.0
202263_at,1.022391575237989e-05,0.002864015889837302,1.0
202301_s_at,2.3347187006870583e-05,0.0044323175333355865,1.0
202308_at,0.0005227361720761981,0.03015895902902856,1.0
202333_s_at,0.0009530656114568566,0.04584197078067179,1.0
202334_s_at,0.0008367524520223758,0.04197196359112238,1.0
202341_s_at,2.942765746261634e-06,0.0015470742036236042,1.0
202342_s_at,2.988157979204973e-06,0.0015515948574545964,1.0
202357_s_at,0.000707073110710772,0.0369591035641601,1.0
202432_at,0.000888137611797461,0.04374677831083439,1.0
202454_s_at,0.00010138067049690563,0.010742225115151775,1.0
202471_s_at,0.0007941368693527793,0.04046545510891259,1.0
202483_s_at,0.00041244383246608025,0.0257718474743805,1.0
202501_at,0.0003752862667443084,0.025457539248443004,1.0
202554_s_at,0.0004434783189520922,0.027459996702950896,1.0
202589_at,0.0003102803868088587,0.02241377398530199,1.0
202599_s_at,0.0003542504571572976,0.02442451922455895,1.0
202600_s_at,1.2679121168885811e-05,0.0032546053986330127,1.0
202615_at,9.224690494403752e-05,0.009947928062751975,1.0
202620_s_at,0.0004593266175311711,0.028154352929951547,1.0
202623_at,0.00019340928886248926,0.016369431685072138,1.0
202630_at,0.00021015927515004768,0.01725294049373702,1.0
202636_at,0.00016241895307483946,0.014653888216776975,1.0
202647_s_at,2.5136239379179955e-05,0.004596400963400214,1.0
202677_at,8.200320454296211e-05,0.009379759850180865,1.0
202690_s_at,2.1232856940607378e-05,0.004256338697384043,1.0
202705_at,7.213086175868936e-06,0.0023917741428792568,1.0
202729_s_at,0.000985479525075398,0.04705772317336016,1.0
202735_at,0.0007617362803451965,0.03917961536018214,1.0
202736_s_at,1.7021734003998754e-05,0.0038939887308310954,1.0
202737_s_at,4.214938951759549e-06,0.001786447962693437,1.0
202762_at,0.0007486910948729487,0.038727233313319266,1.0
202770_s_at,0.0002883976073252836,0.021424102147431904,1.0
202779_s_at,3.5734480358396276e-05,0.0056143181425152774,1.0
202780_at,1.243143203295993e-05,0.0032366121257242104,1.0
202786_at,8.856981459351135e-07,0.0009631928828867648,1.0
202808_at,4.280646098171334e-05,0.00632552230858156,1.0
202810_at,0.00012900428103684923,0.012640338827400953,1.0
202838_at,0.00014201297661960426,0.013433493938887306,1.0
202839_s_at,6.69064347122479e-05,0.00824647831417949,1.0
202870_s_at,1.8975080455428093e-06,0.001235074433214918,1.0
202883_s_at,0.0002133500933308497,0.017436347313698367,1.0
202900_s_at,0.0010311976164427148,0.048772257507790163,1.0
202911_at,2.222364676596533e-05,0.004278443263835051,1.0
202932_at,6.154297322649148e-05,0.007917322496843345,1.0
202946_s_at,0.000318267932366382,0.022746796342656125,1.0
202951_at,0.00033347755023817755,0.023465746537030062,1.0
202954_at,2.5870318919233434e-05,0.0046992016176381655,1.0
202956_at,6.385735171837968e-05,0.00806328107437046,1.0
203021_at,0.00015852810645206663,0.014397880764562694,1.0
203022_at,2.0222769089380266e-05,0.004141123220830959,1.0
203026_at,0.0005462420883787455,0.03098110599803725,1.0
203045_at,0.00027376448686228786,0.020615900178455798,1.0
203066_at,2.411283480611327e-05,0.00447217234478818,1.0
203095_at,2.4816860782127804e-05,0.004571331426894608,1.0
203119_at,0.0004874051703124503,0.029081571184866564,1.0
203126_at,0.0001127796421875049,0.011525657825423983,1.0
203156_at,0.0001894331271410941,0.016204425870259054,1.0
203160_s_at,4.0972124120094606e-06,0.0017528039660277108,1.0
203166_at,0.00043889339297569125,0.02723779371276495,1.0
203180_at,2.149709305828487e-05,0.004268413028604394,1.0
203211_s_at,3.7093977574966735e-05,0.005745363240541944,1.0
203213_at,0.0002500324696669656,0.019477827335806205,1.0
203214_x_at,2.2671575581027685e-05,0.004349362789097154,1.0
203247_s_at,2.2216804847145973e-05,0.004278443263835051,1.0
203250_at,0.0005903820870397303,0.03294224078104274,1.0
203256_at,4.203315227558139e-05,0.006228082928637974,1.0
203343_at,0.00019380740181087225,0.016377773870184607,1.0
203358_s_at,0.0006067510270199427,0.03364514442425494,1.0
203362_s_at,3.4273427902178e-06,0.001645626171387262,1.0
203378_at,0.0005486028422358073,0.03105058012343971,1.0
203397_s_at,0.00012468952588561258,0.012372776456979795,1.0
203401_at,0.0002949842458006113,0.02166421925870994,1.0
203405_at,0.0004472738684173266,0.0275701226107298,1.0
203431_s_at,8.394540183093357e-05,0.00950049525062162,1.0
