ProbeID,ENTREZID
1,54443
2,56111
3,139411
4,64225
5,2296
6,245973
7,10426
8,1690
9,445815
10,7298
11,53335
12,203413
13,144568
14,6489
15,5216
16,4953
17,3068
18,3945
19,5214
20,8531
21,8140
22,7345
23,26227
24,6624
25,9918
26,7407
27,3852
28,1956
29,6422
30,332
31,6566
32,6890
33,23321
34,23650
35,2305
36,1503
37,991
38,6662
39,827
40,1001
41,2146
42,9232
43,6502
44,1871
45,701
46,9787
47,10643
48,5613
49,23532
50,10568
51,10635
52,10403
53,4316
54,6273
55,8842
56,2348
57,2919
58,2564
59,4321
60,2049
61,22943
62,9454
63,9493
64,1299
65,5653
66,2245
67,7272
68,9833
69,5268
70,6664
71,2173
72,2568
73,440
74,4998
75,3872
76,11013
77,1381
78,8424
79,3014
80,11341
81,3696
82,8685
83,10874
84,1825
85,8715
86,3159
87,5806
88,58504
89,7545
90,5918
91,9582
92,28513
93,1029
94,445
95,5737
96,2842
97,8326
98,81611
99,10279
100,51599
101,7368
102,10492
103,3853
104,3854
105,8543
106,688
107,1410
108,4781
109,3400
110,4071
111,1116
112,6525
113,9212
114,699
115,5655
116,3868
117,5727
118,6663
119,9568
120,10477
121,22974
122,419
123,4902
124,29015
125,51512
126,219595
127,204
128,10498
129,6934
130,221061
131,1117
132,10950
133,25928
134,6659
135,1749
136,3887
137,23432
138,25758
139,6374
140,26095
141,51442
142,4174
143,6768
144,84823
145,3500
146,220134
147,25825
148,9055
149,64943
150,55506
151,55165
152,64151
153,10644
154,25984
155,79605
156,79623
157,57348
158,8645
159,9200
160,11254
161,259266
162,57110
163,51700
164,51806
165,51302
166,2019
167,2001
168,55388
169,81618
170,83439
171,79370
172,58528
173,54478
174,55359
175,5317
176,29899
177,51029
178,25818
179,117247
180,29968
181,83543
182,2744
183,6941
184,83540
185,56938
186,56853
187,84072
188,54763
189,83879
190,23406
191,219771
192,1021
193,85301
194,135293
195,25902
196,84002
197,157506
198,57216
199,92737
200,92312
201,8463
202,84733
203,58499
204,201161
205,157313
206,1824
207,81706
208,30812
209,55789
210,221656
211,145864
212,4784
213,94234
214,55553
215,29842
216,1993
217,222663
218,84451
219,260436
220,140883
221,254778
222,1263
223,390010
224,79192
225,399694
226,81796
227,221687
228,84444
229,439949
230,222584
231,146771
232,1830
233,4241
234,168620
235,113730
236,9928
237,80174
238,80328
239,5650
240,55806
241,114907
242,9586
243,56133
244,1131
245,9132
246,105373098
247,85377
248,55612
249,146894
250,22901
251,122773
252,7021
253,163720
254,118430
255,161835
256,255520
257,117159
258,144577
259,284440
260,105375624
261,9765
262,776
263,127707
264,79689
265,285368
266,285097
267,255027
268,113235
269,100996419
270,101926959
271,100506492
272,100128977
273,338667
274,100132169
275,7494
276,8404
277,51552
278,1363
279,9368
280,6414
281,1728
282,347
283,1048
284,214
285,1389
286,25800
287,2947
288,3800
289,2628
290,477
291,8835
292,8614
293,6337
294,10788
295,10974
296,3708
297,4680
298,10512
299,63931
300,771
301,6857
302,1846
303,9338
304,6424
305,10129
306,132
307,9649
308,1910
309,5507
310,65055
311,8537
312,4128
313,1917
314,9619
315,10752
316,3158
317,7033
318,9252
319,3169
320,3667
321,10351
322,4602
323,3572
324,5189
325,222
326,7031
327,6584
328,6038
329,8800
330,3730
331,3081
332,2099
333,374
334,36
335,185
336,8309
337,8821
338,5174
339,10234
340,4886
341,3212
342,1602
343,2690
344,1360
345,80736
346,1359
347,2674
348,4036
349,11001
350,2330
351,1047
352,9687
353,1524
354,4958
355,5334
356,4246
357,7644
358,1960
359,9635
360,395
361,8382
362,8483
363,2922
364,5618
365,4250
366,4137
367,22891
368,1733
369,5304
370,10647
371,8854
372,3751
373,9370
374,6445
375,7366
376,10321
377,1528
378,753
379,5241
380,10916
381,60481
382,10551
383,563
384,1634
385,18
386,3479
387,2625
388,125
389,2203
390,8228
391,90865
392,54674
393,8626
394,150
395,3953
396,3082
397,1580
398,1556
399,4477
400,4488
401,5733
402,4763
403,427
404,5979
405,8416
406,388
407,23171
408,11059
409,23136
410,7373
411,23158
412,23508
413,57613
414,3653
415,27445
416,5125
417,8076
418,23329
419,9140
420,2066
421,10202
422,987
423,25924
424,8743
425,9
426,6019
427,23090
428,27324
429,63923
430,6817
431,4929
432,23428
433,79624
434,79443
435,79083
436,55450
437,51809
438,55859
439,54463
440,56892
441,55638
442,4969
443,10451
444,56649
445,55930
446,56521
447,54829
448,53832
449,57758
450,26047
451,63924
452,64084
453,79570
454,64081
455,55614
456,93664
457,79838
458,54847
459,79818
460,11320
461,11226
462,55259
463,80127
464,80323
465,55103
466,79842
467,60598
468,80129
469,57728
470,81031
471,54979
472,81493
473,3778
474,26353
475,90355
476,1191
477,347902
478,10884
479,79875
480,51473
481,30061
482,55591
483,6423
484,81563
485,51313
486,51426
487,10194
488,59277
489,58475
490,25890
491,26996
492,83594
493,5570
494,91074
495,85320
496,51523
497,29789
498,57580
499,201895
500,550643
501,9135
502,11343
503,5166
504,3480
505,6542
506,6926
507,57182
508,171024
509,255743
510,94241
511,81617
512,164832
513,10818
514,57586
515,123016
516,1040
517,367
518,5074
519,57535
520,5205
521,5239
522,148327
523,4254
524,92840
525,345757
526,4774
527,642273
528,132864
529,222171
530,23327
531,151887
532,7802
533,81533
534,3899
535,57526
536,340485
537,9185
538,56899
539,134147
540,9590
541,781
542,56849
543,54102
544,85004
545,59084
546,132720
547,8825
548,203447
549,27314
550,387923
551,124220
552,155465
553,5010
554,131870
555,6495
556,79884
557,6332
558,55314
559,5099
560,116844
561,80243
562,5874
563,7068
564,948
565,9353
566,9498
567,5250
568,170689
569,151126
570,51760
571,152330
572,5167
573,65266
574,139221
575,79611
576,22874
577,388336
578,728613
579,147463
580,132671
581,149563
582,257194
583,7069
584,4060
585,8239
586,441027
587,5289
588,285386
589,79819
590,286133
591,5910
592,54796
593,401546
594,2151
595,127018
596,9321
597,134548
598,5787
599,129049
600,5686
601,120224
602,57452
603,6913
604,387914
605,8667
606,2899
607,79269
608,9120
609,10800
610,9068
611,84914
612,79447
613,3234
614,9358
615,8499
616,84189
617,57643
618,1767
619,100287616
620,54843
621,3760
622,202333
623,92291
624,8766
625,221662
626,11103
627,10241
628,158158
629,84612
630,27145
631,56204
632,2200
633,9352
634,27303
635,55333
636,84267
637,57562
638,2167
639,57221
640,93164
641,10920
642,2977
643,101927263
644,171523
645,149428
646,341676
647,3371
648,100874362
649,101929520
650,199974
651,252983
652,195814
653,83657
654,286097
655,55809
656,257236
657,143098
658,6235
659,11201
660,7098
661,22849
662,399717
663,145741
664,57721
665,10529
666,105369228
667,653857
668,285671
669,94122
670,55132
671,93587
672,10254
673,658
674,253012
675,283651
676,641455
677,400830
678,101927204
679,32
680,400451
